DATE_TIME,AWAY,HOME
2017-12-11 8:00:00,BOS,CHI
2017-12-11 10:30:00,POR,GSW
2017-12-11 8:00:00,NOP,HOU
2017-12-11 10:30:00,TOR,LAC
2017-12-11 8:00:00,MIA,MEM
2017-12-11 8:00:00,CHA,OKC
2017-12-12 7:30:00,WAS,BKN
2017-12-12 7:00:00,ATL,CLE
2017-12-12 8:30:00,SAS,DAL
2017-12-12 7:00:00,DEN,DET
2017-12-12 9:30:00,PHI,MIN
2017-12-12 7:00:00,LAL,NYK
2017-12-12 10:00:00,PHX,SAC
2017-12-13 7:30:00,DEN,BOS
2017-12-13 8:00:00,UTA,CHI
2017-12-13 9:30:00,CHA,HOU
2017-12-13 7:00:00,OKC,IND
2017-12-13 7:30:00,POR,MIA
2017-12-13 8:00:00,MIL,NOP
2017-12-13 7:00:00,LAC,ORL
2017-12-13 9:00:00,TOR,PHX
2017-12-13 7:00:00,MEM,WAS
2017-12-14 7:30:00,DET,ATL
2017-12-14 7:30:00,NYK,BKN
2017-12-14 8:00:00,LAL,CLE
2017-12-14 10:30:00,DAL,GSW
2017-12-14 8:00:00,SAC,MIN
2017-12-15 7:30:00,UTA,BOS
2017-12-15 7:00:00,MIA,CHA
2017-12-15 9:00:00,NOP,DEN
2017-12-15 9:30:00,SAS,HOU
2017-12-15 7:00:00,DET,IND
2017-12-15 8:00:00,ATL,MEM
2017-12-15 8:00:00,CHI,MIL
2017-12-15 7:00:00,POR,ORL
2017-12-15 7:00:00,OKC,PHI
2017-12-15 7:30:00,BKN,TOR
2017-12-15 7:00:00,LAC,WAS
2017-12-16 7:00:00,POR,CHA
2017-12-16 7:30:00,UTA,CLE
2017-12-16 8:00:00,MIL,HOU
2017-12-16 9:00:00,BOS,MEM
2017-12-16 8:00:00,LAC,MIA
2017-12-16 8:00:00,PHX,MIN
2017-12-16 7:30:00,OKC,NYK
2017-12-16 8:30:00,DAL,SAS
2017-12-17 6:00:00,IND,BKN
2017-12-17 4:00:00,ORL,DET
2017-12-17 3:30:00,SAC,TOR
2017-12-17 6:00:00,CLE,WAS
2017-12-18 7:30:00,MIA,ATL
2017-12-18 8:00:00,PHI,CHI
2017-12-18 7:00:00,NYK,CHA
2017-12-18 8:30:00,PHX,DAL
2017-12-18 8:00:00,UTA,HOU
2017-12-18 7:00:00,BOS,IND
2017-12-18 10:30:00,GSW,LAL
2017-12-18 8:00:00,POR,MIN
2017-12-18 8:00:00,DEN,OKC
2017-12-18 8:30:00,LAC,SAS
2017-12-19 8:00:00,CLE,MIL
2017-12-19 7:00:00,SAC,PHI
2017-12-19 7:00:00,NOP,WAS
2017-12-20 7:30:00,IND,ATL
2017-12-20 7:30:00,MIA,BOS
2017-12-20 7:30:00,SAC,BKN
2017-12-20 8:00:00,ORL,CHI
2017-12-20 7:00:00,TOR,CHA
2017-12-20 8:30:00,DET,DAL
2017-12-20 9:00:00,MIN,DEN
2017-12-20 10:30:00,MEM,GSW
2017-12-20 8:00:00,LAL,HOU
2017-12-20 10:30:00,PHX,LAC
2017-12-20 8:00:00,UTA,OKC
2017-12-20 10:00:00,SAS,POR
2017-12-21 7:00:00,CHI,CLE
2017-12-21 8:00:00,BOS,NYK
2017-12-21 7:00:00,TOR,PHI
2017-12-21 9:00:00,MEM,PHX
2017-12-21 10:30:00,SAS,UTA
2017-12-22 7:30:00,WAS,BKN
2017-12-22 7:00:00,NYK,DET
2017-12-22 10:30:00,LAL,GSW
2017-12-22 8:00:00,LAC,HOU
2017-12-22 8:00:00,DAL,MIA
2017-12-22 8:00:00,CHA,MIL
2017-12-22 8:00:00,ATL,OKC
2017-12-22 7:00:00,NOP,ORL
2017-12-22 10:00:00,DEN,POR
2017-12-23 7:30:00,DAL,ATL
2017-12-23 7:30:00,CHI,BOS
2017-12-23 7:00:00,MIL,CHA
2017-12-23 8:30:00,DEN,GSW
2017-12-23 7:00:00,BKN,IND
2017-12-23 9:30:00,POR,LAL
2017-12-23 8:00:00,LAC,MEM
2017-12-23 8:00:00,NOP,MIA
2017-12-23 9:00:00,MIN,PHX
2017-12-23 10:00:00,SAS,SAC
2017-12-23 5:00:00,PHI,TOR
2017-12-23 8:00:00,OKC,UTA
2017-12-23 7:00:00,ORL,WAS
2017-12-25 5:30:00,WAS,BOS
2017-12-25 3:00:00,CLE,GSW
2017-12-25 10:30:00,MIN,LAL
2017-12-25 12:00:00,PHI,NYK
2017-12-25 8:00:00,HOU,OKC
2017-12-26 7:00:00,TOR,DAL
2017-12-26 9:00:00,UTA,DEN
2017-12-26 7:00:00,IND,DET
2017-12-26 10:30:00,SAC,LAC
2017-12-26 7:30:00,ORL,MIA
2017-12-26 8:00:00,CHI,MIL
2017-12-26 9:00:00,MEM,PHX
2017-12-26 8:30:00,BKN,SAS
2017-12-27 7:30:00,WAS,ATL
2017-12-27 8:00:00,NYK,CHI
2017-12-27 7:00:00,BOS,CHA
2017-12-27 10:30:00,UTA,GSW
2017-12-27 7:00:00,DAL,IND
2017-12-27 10:30:00,MEM,LAL
2017-12-27 8:00:00,DEN,MIN
2017-12-27 8:00:00,BKN,NOP
2017-12-27 8:00:00,TOR,OKC
2017-12-27 10:00:00,CLE,SAC
2017-12-28 8:00:00,HOU,BOS
2017-12-28 8:00:00,MIN,MIL
2017-12-28 7:00:00,DET,ORL
2017-12-28 10:30:00,PHI,POR
2017-12-28 8:30:00,NYK,SAS
2017-12-29 8:00:00,IND,CHI
2017-12-29 10:30:00,CHA,GSW
2017-12-29 10:30:00,LAC,LAL
2017-12-29 8:00:00,BKN,MIA
2017-12-29 8:00:00,DAL,NOP
2017-12-29 8:00:00,MIL,OKC
2017-12-29 10:00:00,PHX,SAC
2017-12-29 7:30:00,ATL,TOR
2017-12-29 7:00:00,HOU,WAS
2017-12-30 7:30:00,POR,ATL
2017-12-30 9:00:00,PHI,DEN
2017-12-30 7:00:00,SAS,DET
2017-12-30 8:30:00,MEM,GSW
2017-12-30 7:00:00,NYK,NOP
